"citation","doi_or_url","year","country_or_region","population_and_technology","study_design","findings","limitations","nigeria_lmic_relevance","evidence_tier","linked_calculator_requirement_or_test"
"Kolapo, A., & Didunyemi, A. J. Effects of exposure on adoption of agricultural smartphone apps among smallholder farmers in Southwest, Nigeria","https://doi.org/10.1186/s40066-024-00485-1",2024,"Southwest Nigeria","380 smallholder farmers; agricultural smartphone apps","Cross-sectional survey with multistage sampling and counterfactual analysis","Exposure was associated with higher app use; users showed higher productivity and technical-efficiency measures than comparison groups.","Non-random exposure and self-reported use limit causal interpretation; it studies adoption/productivity, not this calculator's comprehension or safety.","Direct Nigerian agriculture context; supports exposure, skills, and access risk framing.","direct","Keep onboarding and labels explicit; do not infer app-specific comprehension or usefulness; future participant task study remains required."
"Ayim, C., Kassahun, A., Addison, C., & Tekinerdogan, B. Adoption of ICT innovations in the agriculture sector in Africa: a review of the literature","https://doi.org/10.1186/s40066-022-00364-7",2022,"Africa, with Sub-Saharan focus","African farmers and ICT services including mobile, text, voice, radio, and computers","Systematic literature review; 779 records and 23 primary studies","Mobile services sought timely information, but adoption was constrained by poor infrastructure, policy gaps, and low user skills.","Literature published through 2019; heterogeneous technologies and limited product-level usability evidence.","Direct SSA agriculture context; supports low-skill, infrastructure, and channel assumptions.","direct","Keep the app static and lightweight; retain low-bandwidth and literacy risks as explicit gates."
"Alant, B. P., & Bakare, O. O. A case study of the relationship between smallholder farmers’ ICT literacy levels and demographic data with respect to their use and adoption of ICT for weather forecasting","https://doi.org/10.1016/j.heliyon.2021.e06403",2021,"South Africa","Smallholder farmers; ICT literacy and use/adoption of ICT for weather forecasting","Case study using farmer ICT-literacy and demographic data","ICT literacy and demographic characteristics were examined in relation to farmers’ use and adoption of ICT for weather forecasting.","South African case study and weather-information focus; no evaluation of this calculator or Nigerian users.","Transferable SSA literacy and adoption context.","transferable","Use perceived usefulness and literacy as future outcomes to measure; do not claim them from literature."
"Chete, O., Koledoye, G., & Salami, R. The effectiveness of mobile phone utilisation for agricultural information dissemination among tomato farmers in Ondo State, Nigeria","https://doi.org/10.17700/jai.2026.17.1.737",2026,"Ondo State, Nigeria","100 tomato farmers; mobile phones and agricultural information","Quantitative cross-sectional survey","Network problems and charging constraints were prominent; education and socioeconomic factors were associated with effective use.","Small local sample, self-report, and information-dissemination focus; no evaluation of this interface.","Direct Nigerian context for connectivity, charging, and literacy risks.","direct","Treat low bandwidth, charging, and language as unresolved field risks; preserve offline-first behavior and test blocked-storage recovery."
"Ayanwale, A. B., & Kehinde, A. D. Determinants of use of digital innovation and its impact on land acquisition and food security among farming households in Nigeria","https://doi.org/10.1016/j.wdp.2025.100702",2025,"Nigeria","5,051 farming households; digital innovation and household outcomes","Secondary-data cross-sectional analysis using panel survey data","Education, age, assets, financial access, and internet access were associated with digital innovation use; digital exclusion persisted despite mobile ownership.","Observational household-level associations do not establish app effects, comprehension, or safety.","Direct Nigerian context for unequal access and socioeconomic heterogeneity.","direct","Do not assume smartphone ownership equals usable access; retain anonymous local calculation and defer user comprehension claims."
"Cheng, C., Beauchamp, A., Elsworth, G. R., & Osborne, R. H. Applying the Electronic Health Literacy Lens: systematic review of electronic health interventions targeted at socially disadvantaged groups","https://doi.org/10.2196/18476",2020,"International; socially disadvantaged populations","Digital health interventions for socially disadvantaged groups","Systematic review","User involvement and eHealth literacy were inconsistently addressed; interventions need attention to literacy, access, and the user's ability to find, understand, and act on information.","Health rather than agriculture; heterogeneous interventions and outcome measures.","Transferable literacy and user-involvement context for low-literacy calculator copy.","transferable","Use plain language and visible explanations; require future comprehension testing rather than claiming the copy works."
"Hamilton, F. L., et al. Design and deployment of digital health interventions to reduce the risk of the digital divide","https://doi.org/10.3310/GJHG1331",2025,"United Kingdom review with underserved-population evidence","Adults affected by age, income, education, ethnicity, or digital exclusion; web/mobile interventions","Systematic scoping review; 22 papers","Co-development, iterative user testing, low-reading-age copy, images, human support, and affordable connectivity were recurring design/deployment themes.","Heterogeneous evidence, search through 2021, and few validated measures of digital-skill change.","Transferable digital-divide requirements; not Nigerian farmer evidence.","transferable","Keep simple visible copy and defer translation; use browser checks as implementation evidence, not as user validation."
"Pavão, A. L. B., & Werneck, G. L. Health literacy in low- and middle-income countries: a systematic review","https://doi.org/10.1590/1413-81232021269.05782020",2021,"LMICs, mostly Asia and Latin America","Health-literacy studies in LMIC populations","Systematic review; 6,025 references and 36 included studies","Definitions and measures varied; functional literacy was most common and broader literacy constructs were inconsistently used.","Health-literacy construct and measurement heterogeneity limit direct transfer to agricultural numeracy.","Transferable warning against treating a single comprehension proxy as complete literacy evidence.","transferable","Map unit and ranking comprehension separately in any future participant study; no helpfulness proxy in this gate."
"McHenry, M. S., Fischer, L. J., Chun, Y., & Vreeman, R. C. A systematic review of portable electronic technology for health education in resource-limited settings","https://doi.org/10.1177/1757975917715035",2017,"LMIC/resource-limited settings including Nigeria, Ghana, Kenya, Tanzania, India, Peru, Botswana, Thailand","Portable devices with offline educational or decision-support content","Systematic review; 5,514 unique titles, 75 full texts, 10 included","Offline portable resources were promising when culturally adapted and functional; technical support, cost, and theft were recurring limitations.","Only 10 included studies and largely health-education settings; positive findings do not validate this app.","Transferable offline and cultural-adaptation evidence with some Nigerian coverage.","transferable","Retain offline calculation, no-egress behavior, and deferred physical-device validation; do not claim offline recovery in the field."
"Islam, M. S., et al. Mapping national ICT infrastructure to the requirements of potential digital health interventions in LMICs","https://doi.org/10.7189/jogh.12.04094",2022,"Bangladesh, India, Indonesia, Malaysia, Pakistan","Digital-health infrastructure, policy, electricity, connectivity, and user access","JBI-informed scoping review and rapid-review synthesis; 118 studies plus contextual sources","Interrupted electricity/internet, workforce, policy, affordability, and rural/gender access gaps shaped feasibility; context-specific tailoring was required.","Five-country health context is not Nigeria and includes contextual statistics alongside studies.","Transferable LMIC infrastructure evidence.","transferable","Treat low bandwidth and power as design constraints; record browser evidence separately from physical-device evidence."
"ISO. ISO 9241-11:2018 Ergonomics of human-system interaction — Part 11: Usability: Definitions and concepts","https://www.iso.org/standard/63500.html",2018,"International standard","Interactive systems and products; specified users, goals, and context","International standard","Usability is an outcome of use involving effectiveness, efficiency, and satisfaction in a specified context; the standard does not prescribe a single method.","Paid standard and framework-level guidance; it supplies no population or product outcome.","Contextual usability definition; applicable to future calculator evaluation planning.","contextual","Separate effectiveness, efficiency, and satisfaction measures in future human validation; do not collapse them into a single literature claim."
"Nielsen, J. 10 usability heuristics for user interface design","https://www.nngroup.com/articles/ten-usability-heuristics/",1994,"International practice guidance","General software interfaces","Heuristic design guidance","Visibility, match to the real world, error prevention, recognition over recall, and recoverable errors are relevant inspection lenses.","Practice guidance, not a controlled empirical study and not evidence of Nigerian farmer comprehension.","Useful inspection context but insufficient for population or product claims.","insufficient","Use as a review checklist for labels, error messages, visible units, and recovery; require user testing for comprehension."
"Brooke, J. SUS — a quick and dirty usability scale","https://hci-studies.org/methods-and-measures/downloads/SUS_Brooke1996.pdf",1996,"International practice and research","Interactive systems; post-use questionnaire","Usability measurement chapter","The System Usability Scale offers a short global usability measure for future comparative evaluation.","A global score cannot diagnose unit or ranking misunderstandings and requires actual users; the original chapter is not a Nigerian or agricultural study.","Transferable evaluation instrument only; not active Stage 6 evidence.","transferable","If participant validation is later authorized, pair task success and comprehension with SUS; do not use a SUS threshold now."
"Polson, P. G., Lewis, C., Rieman, J., & Wharton, C. Cognitive walkthroughs: a method for theory-based evaluation of user interfaces","https://doi.org/10.1016/0020-7373(92)90039-N",1992,"International human-computer interaction","Task-based interface learning by exploration","Method paper","Cognitive walkthrough structures inspection around user goals, available actions, feedback, and whether a user can learn the next step.","Method validity depends on realistic task definitions and evaluators; inspection is not user performance evidence.","Transferable method for calculator task-flow review.","transferable","Apply walkthrough prompts to crop selection, units, price range, ranking, print, reload, and error recovery; retain comprehension as unresolved."
"World Wide Web Consortium. Web Content Accessibility Guidelines (WCAG) 2.2","https://www.w3.org/TR/WCAG22/",2024,"International recommendation","Web content and applications on desktop and mobile devices","Technical accessibility standard","Perceivable, operable, understandable, and robust principles provide testable accessibility criteria across devices.","Conformance does not establish agricultural literacy, local-language adequacy, or actual assistive-technology success in this app.","Transferable accessibility standard; product conformance is narrower than field usability.","transferable","Retain semantic labels, keyboard flows, contrast/axe checks, responsive tests, and future assistive-technology review."
"Page, M. J., et al. The PRISMA 2020 statement: an updated guideline for reporting systematic reviews","https://doi.org/10.1136/bmj.n71",2021,"International reporting guidance","Systematic reviews and evidence syntheses","Reporting guideline","PRISMA 2020 requires transparent objectives, eligibility, sources, search strategies, selection, synthesis, limitations, and flow reporting.","Designed primarily for systematic reviews; this rapid scoping review adapts it proportionately and does not claim a registered systematic review.","Contextual synthesis/reporting guidance.","contextual","Maintain the review question, exact strings, screening counts, source links, limitations, and explicit no-participant-validation statement."
"Pollock, D., et al. Scoping reviews, in the JBI Manual for Evidence Synthesis","https://jbi-global.atlassian.net/wiki/spaces/MANUAL",2024,"International evidence-synthesis guidance","Scoping reviews across health and policy evidence","Methodological manual","JBI provides guidance on scoping-review questions, searching, selection, extraction, synthesis, and presentation of heterogeneous evidence.","Method guidance does not supply calculator evidence and the online manual is updated over time.","Contextual review-method guidance.","contextual","Use a broad mapping review and narrative synthesis; do not pool incomparable usability or adoption measures."
"Hong, Q. N., Gonzalez-Reyes, A., & Pluye, P. Improving the usefulness of the Mixed Methods Appraisal Tool","https://doi.org/10.1111/jep.12884",2018,"International methods research","Qualitative, quantitative, and mixed-method studies","Qualitative study of 20 MMAT users across eight countries","MMAT usefulness depends on coverage, flexibility, learnability, and clear selection of appraisal criteria.","User interviews about the tool do not establish that MMAT classifications are objective or that the underlying evidence transfers to this product.","Contextual quality-appraisal method.","contextual","Record design-aware quality/context judgments per source instead of a pooled score or false precision."
"World Health Organization. Monitoring and evaluating digital health interventions: a practical guide","https://www.who.int/publications/i/item/9789241511766",2016,"International, LMIC-oriented implementation guidance","Digital health and mHealth interventions","Official practical guide","Evaluation should distinguish implementation fidelity, process measures, outcomes, context, and research questions across the intervention lifecycle.","Health-program guidance and not a product-specific usability validation; published in 2016.","Contextual evaluation-planning guidance.","contextual","Retain separate gates for browser behavior, physical-device behavior, participant comprehension, adoption, and forecast outcomes."
"Weirauch, V., Soehnchen, C., Burmann, A., & Meister, S. Methods, Indicators, and End-User Involvement in the Evaluation of Digital Health Interventions for the Public","https://doi.org/10.2196/55714",2024,"International public end-user digital health studies","Public-facing digital interventions and their evaluation methods","Scoping review; 160 articles and 200 evaluations","Mixed methods, surveys, interviews, task/scenario tests, and active/qualitative end-user involvement were common; indicators and methods remained heterogeneous.","No formal quality appraisal by scoping-review design; health-focused evidence and publication/reporting bias limit transfer.","Transferable evaluation-method evidence that reinforces the need for future users and explicit measures.","transferable","Define future task, comprehension, satisfaction, and technical measures separately; do not replace them with the current literature gate."
